code,name,text_status,WHO_print_page,xyz_status,skin_registered,clinical_reviewer,measured_error,required_landmarks
ST6,颊车,旧版部位摘要；尚待逐条核对原标准,48,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST7,下关,旧版部位摘要；尚待逐条核对原标准,49,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST8,头维,旧版部位摘要；尚待逐条核对原标准,49,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST9,人迎,旧版部位摘要；尚待逐条核对原标准,50,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST10,水突,旧版部位摘要；尚待逐条核对原标准,50,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST11,气舎,旧版部位摘要；尚待逐条核对原标准,51,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST12,缺盆,旧版部位摘要；尚待逐条核对原标准,51,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST13,气戶,旧版部位摘要；尚待逐条核对原标准,52,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST14,库房,旧版部位摘要；尚待逐条核对原标准,52,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST15,屋翳,旧版部位摘要；尚待逐条核对原标准,53,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST16,膺窓,旧版部位摘要；尚待逐条核对原标准,53,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST17,(乳)中,旧版部位摘要；尚待逐条核对原标准,54,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST18,(乳)根,旧版部位摘要；尚待逐条核对原标准,54,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST19,不容,旧版部位摘要；尚待逐条核对原标准,55,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST20,承满,旧版部位摘要；尚待逐条核对原标准,55,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST21,梁门,旧版部位摘要；尚待逐条核对原标准,56,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST22,关门,旧版部位摘要；尚待逐条核对原标准,56,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST23,太乙,旧版部位摘要；尚待逐条核对原标准,57,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST24,滑肉门,旧版部位摘要；尚待逐条核对原标准,57,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST25,天枢,旧版部位摘要；尚待逐条核对原标准,58,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST26,外陵,旧版部位摘要；尚待逐条核对原标准,58,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST27,大巨,旧版部位摘要；尚待逐条核对原标准,59,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST28,水道,旧版部位摘要；尚待逐条核对原标准,59,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST29,归来,旧版部位摘要；尚待逐条核对原标准,60,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST30,气冲,旧版部位摘要；尚待逐条核对原标准,60,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST31,髀关,旧版部位摘要；尚待逐条核对原标准,61,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST32,伏兔,旧版部位摘要；尚待逐条核对原标准,62,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST33,阴市,旧版部位摘要；尚待逐条核对原标准,62,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST34,梁丘,旧版部位摘要；尚待逐条核对原标准,63,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST35,犊鼻,旧版部位摘要；尚待逐条核对原标准,63,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST36,足三里,文献部位摘要；三维未校准,64,unregistered,False,,,膝部标志、胫骨前嵴、局部骨度分寸
ST37,上巨虚,旧版部位摘要；尚待逐条核对原标准,64,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST38,条口,旧版部位摘要；尚待逐条核对原标准,65,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST39,下巨虚,旧版部位摘要；尚待逐条核对原标准,65,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST40,丰隆,旧版部位摘要；尚待逐条核对原标准,66,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST41,解溪,旧版部位摘要；尚待逐条核对原标准,66,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST42,冲阳,旧版部位摘要；尚待逐条核对原标准,67,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST43,陥谷,旧版部位摘要；尚待逐条核对原标准,67,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST44,内庭,旧版部位摘要；尚待逐条核对原标准,68,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST45,厉兑,旧版部位摘要；尚待逐条核对原标准,68,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP1,隐白,旧版部位摘要；尚待逐条核对原标准,70,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP2,大都(都),旧版部位摘要；尚待逐条核对原标准,70,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP3,太白,旧版部位摘要；尚待逐条核对原标准,71,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP4,公孙,旧版部位摘要；尚待逐条核对原标准,71,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP5,商丘,旧版部位摘要；尚待逐条核对原标准,72,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP6,三阴交,文献部位摘要；三维未校准,72,unregistered,False,,,内踝尖、胫骨内侧缘、局部骨度分寸
SP7,漏谷,旧版部位摘要；尚待逐条核对原标准,73,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP8,地机,旧版部位摘要；尚待逐条核对原标准,73,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP9,阴陵泉,旧版部位摘要；尚待逐条核对原标准,74,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP10,血海,旧版部位摘要；尚待逐条核对原标准,74,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP11,箕门,旧版部位摘要；尚待逐条核对原标准,75,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP12,冲门,旧版部位摘要；尚待逐条核对原标准,75,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP13,府舎,旧版部位摘要；尚待逐条核对原标准,76,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP14,腹结,旧版部位摘要；尚待逐条核对原标准,76,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP15,大橫,旧版部位摘要；尚待逐条核对原标准,77,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP16,腹哀,旧版部位摘要；尚待逐条核对原标准,77,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP17,食窦,旧版部位摘要；尚待逐条核对原标准,78,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP18,天溪,旧版部位摘要；尚待逐条核对原标准,78,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP19,胸乡,旧版部位摘要；尚待逐条核对原标准,79,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP20,周荣,旧版部位摘要；尚待逐条核对原标准,79,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SP21,大包,旧版部位摘要；尚待逐条核对原标准,80,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT1,极泉,旧版部位摘要；尚待逐条核对原标准,82,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT2,青灵,旧版部位摘要；尚待逐条核对原标准,82,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT3,少海,旧版部位摘要；尚待逐条核对原标准,83,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT4,灵道,旧版部位摘要；尚待逐条核对原标准,83,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT5,通里,旧版部位摘要；尚待逐条核对原标准,84,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT6,阴郄,旧版部位摘要；尚待逐条核对原标准,84,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT7,神门,文献部位摘要；三维未校准,85,unregistered,False,,,腕横纹、尺侧腕屈肌腱、豌豆骨周边
HT8,少府,旧版部位摘要；尚待逐条核对原标准,85,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
HT9,少冲,旧版部位摘要；尚待逐条核对原标准,86,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI1,少泽,旧版部位摘要；尚待逐条核对原标准,88,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI2,前谷,旧版部位摘要；尚待逐条核对原标准,88,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI3,后溪,旧版部位摘要；尚待逐条核对原标准,89,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI4,腕骨,旧版部位摘要；尚待逐条核对原标准,89,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI5,阳谷,旧版部位摘要；尚待逐条核对原标准,90,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI6,养老,旧版部位摘要；尚待逐条核对原标准,90,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI7,支正,旧版部位摘要；尚待逐条核对原标准,91,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI8,小海,旧版部位摘要；尚待逐条核对原标准,91,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI9,肩贞,旧版部位摘要；尚待逐条核对原标准,92,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI10,臑俞,旧版部位摘要；尚待逐条核对原标准,92,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI11,天宗,旧版部位摘要；尚待逐条核对原标准,93,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI12,秉风,旧版部位摘要；尚待逐条核对原标准,93,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI13,曲垣,旧版部位摘要；尚待逐条核对原标准,94,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI14,肩外俞,旧版部位摘要；尚待逐条核对原标准,94,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI15,肩中俞,旧版部位摘要；尚待逐条核对原标准,95,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI16,天窓,旧版部位摘要；尚待逐条核对原标准,95,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI17,天容,旧版部位摘要；尚待逐条核对原标准,96,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI18,颧髎,旧版部位摘要；尚待逐条核对原标准,96,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
SI19,听宫,旧版部位摘要；尚待逐条核对原标准,97,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL1,睛明,旧版部位摘要；尚待逐条核对原标准,100,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL2,攒竹,旧版部位摘要；尚待逐条核对原标准,100,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL3,眉冲,旧版部位摘要；尚待逐条核对原标准,101,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL4,曲差,旧版部位摘要；尚待逐条核对原标准,101,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL5,五处,旧版部位摘要；尚待逐条核对原标准,102,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL6,承光,旧版部位摘要；尚待逐条核对原标准,102,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL7,通天,旧版部位摘要；尚待逐条核对原标准,103,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL8,络却,旧版部位摘要；尚待逐条核对原标准,103,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL9,玉枕,旧版部位摘要；尚待逐条核对原标准,104,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL10,天柱,旧版部位摘要；尚待逐条核对原标准,104,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL11,大杼,旧版部位摘要；尚待逐条核对原标准,105,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL12,风门,旧版部位摘要；尚待逐条核对原标准,105,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL13,肺俞,旧版部位摘要；尚待逐条核对原标准,106,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL14,厥阴俞,旧版部位摘要；尚待逐条核对原标准,106,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL15,心俞,旧版部位摘要；尚待逐条核对原标准,107,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL16,督俞,旧版部位摘要；尚待逐条核对原标准,107,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL17,膈俞,旧版部位摘要；尚待逐条核对原标准,108,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL18,肝俞,旧版部位摘要；尚待逐条核对原标准,108,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL19,膽俞,旧版部位摘要；尚待逐条核对原标准,109,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL20,脾俞,旧版部位摘要；尚待逐条核对原标准,109,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL21,胃俞,旧版部位摘要；尚待逐条核对原标准,110,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL22,三焦俞,旧版部位摘要；尚待逐条核对原标准,110,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL23,腎俞,旧版部位摘要；尚待逐条核对原标准,111,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL24,气海俞,旧版部位摘要；尚待逐条核对原标准,111,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL25,大腸俞,旧版部位摘要；尚待逐条核对原标准,112,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL26,关元俞,旧版部位摘要；尚待逐条核对原标准,112,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL27,小肠俞,旧版部位摘要；尚待逐条核对原标准,113,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL28,膀胱俞,旧版部位摘要；尚待逐条核对原标准,113,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL29,中膂俞,旧版部位摘要；尚待逐条核对原标准,114,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL30,白环俞,旧版部位摘要；尚待逐条核对原标准,114,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL31,上髎,旧版部位摘要；尚待逐条核对原标准,115,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL32,次髎,旧版部位摘要；尚待逐条核对原标准,115,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL33,中髎,旧版部位摘要；尚待逐条核对原标准,116,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL34,下髎,旧版部位摘要；尚待逐条核对原标准,116,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL35,会阳,旧版部位摘要；尚待逐条核对原标准,117,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL36,承扶,旧版部位摘要；尚待逐条核对原标准,117,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL37,殷门,旧版部位摘要；尚待逐条核对原标准,118,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL38,(浮)郄,旧版部位摘要；尚待逐条核对原标准,118,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL39,委阳,旧版部位摘要；尚待逐条核对原标准,119,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL40,委中,旧版部位摘要；尚待逐条核对原标准,119,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL41,附分,旧版部位摘要；尚待逐条核对原标准,120,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL42,魄户,旧版部位摘要；尚待逐条核对原标准,120,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL43,膏肓,旧版部位摘要；尚待逐条核对原标准,121,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL44,神堂,旧版部位摘要；尚待逐条核对原标准,121,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL45,譩譆,旧版部位摘要；尚待逐条核对原标准,122,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL46,膈关,旧版部位摘要；尚待逐条核对原标准,122,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL47,魂门,旧版部位摘要；尚待逐条核对原标准,123,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL48,阳纲,旧版部位摘要；尚待逐条核对原标准,123,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL49,意舎,旧版部位摘要；尚待逐条核对原标准,124,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL50,胃仓,旧版部位摘要；尚待逐条核对原标准,124,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL51,肓门,旧版部位摘要；尚待逐条核对原标准,125,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL52,志室,旧版部位摘要；尚待逐条核对原标准,125,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL53,胞肓,旧版部位摘要；尚待逐条核对原标准,126,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL54,秩边,旧版部位摘要；尚待逐条核对原标准,126,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL55,合阳,旧版部位摘要；尚待逐条核对原标准,127,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL56,承筋,旧版部位摘要；尚待逐条核对原标准,127,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL57,承山,旧版部位摘要；尚待逐条核对原标准,128,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL58,飞扬,旧版部位摘要；尚待逐条核对原标准,128,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL59,跗阳,旧版部位摘要；尚待逐条核对原标准,129,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL60,昆侖,旧版部位摘要；尚待逐条核对原标准,129,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL61,仆參(参),旧版部位摘要；尚待逐条核对原标准,130,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL62,申脉,旧版部位摘要；尚待逐条核对原标准,130,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL63,金门,旧版部位摘要；尚待逐条核对原标准,131,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL64,京骨,旧版部位摘要；尚待逐条核对原标准,131,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL65,束骨,旧版部位摘要；尚待逐条核对原标准,132,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL66,足通谷,旧版部位摘要；尚待逐条核对原标准,132,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
BL67,至阴,旧版部位摘要；尚待逐条核对原标准,133,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI1,涌泉,文献部位摘要；三维未校准,136,unregistered,False,,,足底皮肤、屈趾姿势、足底长度标志
KI2,然谷,旧版部位摘要；尚待逐条核对原标准,136,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI3,太溪,文献部位摘要；三维未校准,137,unregistered,False,,,内踝尖、跟腱、皮肤凹陷
KI4,大钟,旧版部位摘要；尚待逐条核对原标准,137,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI5,水泉,旧版部位摘要；尚待逐条核对原标准,138,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI6,照海,旧版部位摘要；尚待逐条核对原标准,138,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI7,复溜,旧版部位摘要；尚待逐条核对原标准,139,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI8,交信,旧版部位摘要；尚待逐条核对原标准,139,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI9,筑宾,旧版部位摘要；尚待逐条核对原标准,140,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI10,阴谷,旧版部位摘要；尚待逐条核对原标准,140,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI11,橫骨,旧版部位摘要；尚待逐条核对原标准,141,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI12,大赫,旧版部位摘要；尚待逐条核对原标准,141,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI13,气穴,旧版部位摘要；尚待逐条核对原标准,142,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI14,四满,旧版部位摘要；尚待逐条核对原标准,142,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI15,中注,旧版部位摘要；尚待逐条核对原标准,143,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI16,肓俞,旧版部位摘要；尚待逐条核对原标准,143,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI17,商曲,旧版部位摘要；尚待逐条核对原标准,144,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI18,石关,旧版部位摘要；尚待逐条核对原标准,144,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI19,阴都,旧版部位摘要；尚待逐条核对原标准,145,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI20,腹通谷,旧版部位摘要；尚待逐条核对原标准,145,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI21,幽门,旧版部位摘要；尚待逐条核对原标准,146,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI22,歩廊,旧版部位摘要；尚待逐条核对原标准,146,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI23,神封,旧版部位摘要；尚待逐条核对原标准,147,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI24,灵墟,旧版部位摘要；尚待逐条核对原标准,147,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
KI25,神蔵,旧版部位摘要；尚待逐条核对原标准,148,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
